,obsval,obsnme,weight,time,i,j,wellname,obgnme,standard_deviation,datetime
97,0.91688725,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:3166_spec:ctet,0.001,3166,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2020-08-31
98,1.033328702,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:3196_spec:ctet,0.001,3196,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2020-09-30
99,1.227797438,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:3227_spec:ctet,0.001,3227,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2020-10-31
100,0.995272725,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:3257_spec:ctet,0.001,3257,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2020-11-30
101,0.984722912,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:3288_spec:ctet,0.001,3288,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2020-12-31
102,1.127486751,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:3319_spec:ctet,0.001,3319,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2021-01-31
103,1.07957438,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:3347_spec:ctet,0.001,3347,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2021-02-28
104,1.112039308,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:3378_spec:ctet,0.001,3378,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2021-03-31
105,0.951266222,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:3408_spec:ctet,0.001,3408,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2021-04-30
106,0.963934421,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:3439_spec:ctet,0.001,3439,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2021-05-31
107,0.883553654,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:3469_spec:ctet,0.001,3469,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2021-06-30
108,0.739336572,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:3500_spec:ctet,0.001,3500,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2021-07-31
109,0.943312399,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:3531_spec:ctet,0.001,3531,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2021-08-31
110,0.913508215,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:3561_spec:ctet,0.001,3561,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2021-09-30
111,0.967749855,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:3592_spec:ctet,0.001,3592,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2021-10-31
112,0.950041664,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:3622_spec:ctet,0.001,3622,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2021-11-30
113,0.979374188,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:3653_spec:ctet,0.001,3653,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2021-12-31
114,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:124_j:83_time:213_spec:ctet,0.001,213,124,83,299-w19-114,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2012-07-31
115,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:124_j:83_time:244_spec:ctet,0.001,244,124,83,299-w19-114,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2012-08-31
116,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:124_j:83_time:274_spec:ctet,0.001,274,124,83,299-w19-114,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2012-09-30
117,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:124_j:83_time:305_spec:ctet,0.001,305,124,83,299-w19-114,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2012-10-31
